ref_id,fonte,autor,ano,arxiv,doi,titulo,raw
A585,AGOSTINI,Pearce,1952,,,Double beta-decay of sn124 ,"Pearce, R M, and E. K. Darby (1952), “Double beta-decay of sn124 ,” Phys. Rev. 86, 1049-1050."
A586,AGOSTINI,Petcov,2013,1303.5819,,The Nature of Massive Neutrinos,"Petcov, S T (2013), “The Nature of Massive Neutrinos,” Adv. High Energy Phys. 2013, 852987, arXiv:1303.5819 [hep-ph]."
A587,AGOSTINI,Piquemal,2006,,,The SuperNEMO project,"Piquemal, F (NEMO) (2006), “The SuperNEMO project,” Phys. Atom. Nucl. 69, 2096-2100."
A588,AGOSTINI,Pirinen,2015,,,Systematic approach to β and 2νββ decays of mass A =100-136 nuclei,"Pirinen, P, and J. Suhonen (2015), “Systematic approach to β and 2νββ decays of mass A =100-136 nuclei,” Phys. Rev. C 91, 054309."
A589,AGOSTINI,Pisanti,2020,,,Improved nuclear reaction network for a reliable estimate of primordial Deuterium yield,"Pisanti, O (2020), “Improved nuclear reaction network for a reliable estimate of primordial Deuterium yield,” J. Phys. Conf. Ser. 1468 (1), 012010."
A590,AGOSTINI,Poda,2017,1711.01075,,Low background techniques in bolometers for double-beta decay search,"Poda, Denys, and Andrea Giuliani (2017), “Low background techniques in bolometers for double-beta decay search,” Int. J. Mod. Phys. A 32 (30), 1743012, arXiv:1711.01075 [physics.ins-det]."
A591,AGOSTINI,Pontecorvo,1947,,,Nuclear capture of mesons and the meson decay,"Pontecorvo, B (1947), “Nuclear capture of mesons and the meson decay,” Phys. Rev. 72, 246."
A592,AGOSTINI,Pontecorvo,1957,,,Inverse beta processes and nonconservation of lepton charge,"Pontecorvo, B (1957a), “Inverse beta processes and nonconservation of lepton charge,” Zh. Eksp. Teor. Fiz. 34, 247."
A593,AGOSTINI,Pontecorvo,1957,,,Mesonium and anti-mesonium,"Pontecorvo, B (1957b), “Mesonium and anti-mesonium,” Sov. Phys. JETP 6, 429, [Zh. Eksp. Teor. Fiz.33,549(1957)]."
A594,AGOSTINI,Pontecorvo,1967,,,Neutrino Experiments and the Problem of Conservation of Leptonic Charge,"Pontecorvo, B (1967), “Neutrino Experiments and the Problem of Conservation of Leptonic Charge,” Zh. Eksp. Teor. Fiz. 53, 1717-1725."
A595,AGOSTINI,Pontecorvo,1968,,,Superweak interactions and double beta decay,"Pontecorvo, B (1968), “Superweak interactions and double beta decay,” Physics Letters B 26, 630-632."
A596,AGOSTINI,Poves,2017,,,Shell model spectroscopy far from stability,"Poves, A (2017), “Shell model spectroscopy far from stability,” J. Phys. G 44, 084002."
A597,AGOSTINI,Poves,1995,,,Double beta decay of 48 Ca revisited,"Poves, A, R. P. Bahukutumbi, K. Langanke, and P. Vogel (1995), “Double beta decay of 48 Ca revisited,” Phys. Lett. B 361, 1-4."
A598,AGOSTINI,Povinec,2017,,,Background constrains of the SuperNEMO experiment for neutrinoless double beta-decay searches,"Povinec, P P (SuperNEMO) (2017), “Background constrains of the SuperNEMO experiment for neutrinoless double beta-decay searches,” Nucl. Instrum. Meth. A 845, 398- 403."
A599,AGOSTINI,Prezeau,2003,,,Neutrinoless double beta decay and effective field theory,"Prezeau, G, M. Ramsey-Musolf, and P. Vogel (2003), “Neutrinoless double beta decay and effective field theory,” Phys. Rev. D 68, 034016."
A600,AGOSTINI,Primakoff,1959,,,Double beta decay,"Primakoff, H, and S. P. Rosen (1959), “Double beta decay,” Rept. Prog. Phys. 22 (1), 121-166."
A601,AGOSTINI,Primakoff,1969,,,Nuclear double-beta decay and a new limit on lepton nonconservation,"Primakoff, H, and S. P. Rosen (1969), “Nuclear double-beta decay and a new limit on lepton nonconservation,” Phys. Rev. 184, 1925-1933."
A602,AGOSTINI,Prout,1816,,,Correction of a mistake in the essay on the relation between the specific gravities of bodies in their gaseous state and the weights of their atoms,"Prout, W (1816), “Correction of a mistake in the essay on the relation between the specific gravities of bodies in their gaseous state and the weights of their atoms,” Annals of philosophy 7 (1816), 111-113."
A603,AGOSTINI,Puppi,1948,,,On Mesons in Cosmic Radiation. (In Italian),"Puppi, G (1948), “On Mesons in Cosmic Radiation. (In Italian),” Meeting of the Italian School of Physics and Weak Interactions Bologna, Italy, April 26-28, 1984, Nuovo Cim. 5, 587-588, [,590(1948)]."
